Hashtag,Keyword,Organisation
'EOL',"{'Health', 'Research'}",{'QUT'}
'EndOfLife',{'Health'},{'UniofAdelaide'}
'Eye',{'Research'},"{'unimelb', 'EyeResearchAus'}"
'Fellowship',"{'Funding', 'Grant', 'Research'}","{'UNSW', 'QIMRBerghofer', 'GarvanInstitute'}"
'Flinders',{'Research'},{'Flinders'}
'Fracking',{'Research'},{'uwanews'}
'GCI_MACH',{'Health'},"{'unimelb', 'MCRI_for_kids'}"
'GPTEC2018',"{'Medical', 'Health'}",{'Flinders'}
'GPUs',{'Research'},{'Sydney_Uni'}
'Genetics',{'Health'},"{'UNSW', 'GarvanInstitute'}"
'Great',{'Medical'},{'UNSW'}
'GreyNomads',"{'Health', 'Research'}",{'UOW'}
'HDR',{'Research'},{'Macquarie_Uni'}
'HealthAdvocatePodcast',{'Health'},{'UQ_News'}
'HealthGuru',{'Health'},{'QUT'}
'Heidegger',"{'Grant', 'Research'}",{'Sydney_Uni'}
'HigherEd',"{'Policy', 'Government', 'Research'}","{'QUT', 'UniversitySA', 'UNSW'}"
'ICID2018',{'Research'},{'UniofAdelaide'}
'IHBI',{'Research'},{'QUT'}
'IHBIinspires2018',"{'Medical', 'Health', 'Research'}",{'QUT'}
'IMNIS',{'Research'},"{'unimelb', 'WEHI_research'}"
'IP',{'Policy'},{'QUT'}
'Indonesia',{'Health'},{'uwanews'}
'JLRGIVES5',{'Research'},{'WEHI_research'}
'JMP',{'Health'},{'Uni_Newcastle'}
'JORC',"{'Grant', 'Research'}",{'Sydney_Uni'}
'KeralaFloods',{'Government'},{'MonashUni'}
'Kyabram',{'Health'},{'blackdoginst'}
'LEW2018',{'Policy'},{'unimelb'}
'LISH18',{'Research'},{'WEHI_research'}
'LahiruRussell',{'Research'},{'PeterMacCC'}
'Latrobe',"{'Medical', 'Health'}",{'latrobe'}
'MCCRSA',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
'MELANOMA',{'Research'},{'QIMRBerghofer'}
'MHR',"{'Medical', 'Health'}",{'Flinders'}
'MVP',{'Research'},{'BakerResearchAu'}
'MedEd',{'Medical'},{'unimelb'}
'Medical',{'Medical'},{'UniversitySA'}
'Melanoma',{'Grant'},{'PeterMacCC'}
'Melbourne',{'Research'},{'WEHI_research'}
'MeningococcalB',{'Research'},{'UniofAdelaide'}
'MentalHealth',"{'Health', 'Research'}",{'UOW'}
'Mentalhealth',"{'Health', 'Research'}","{'UOW', 'UniversitySA'}"
'Mobile',{'Health'},{'Flinders'}
'MonsantoLies',{'Research'},{'UOW'}
'MosquitoDay',"{'Health', 'Research'}",{'QIMRBerghofer'}
'MultipleSclerosis',"{'Health', 'Research'}",{'PeterMacCC'}
'NEG',{'Government'},{'latrobe'}
'NETcancer',{'Research'},{'PeterMacCC'}
'NHMRC',"{'Health', 'Grant', 'Research'}","{'unimelb', 'MCRI_for_kids', 'UQ_News'}"
'NSVW',{'Health'},{'UQ_News'}
'Nanomedicine',{'Research'},{'PeterMacCC'}
'NatSciWk',{'Research'},{'latrobe'}
'NoFrills2018',"{'Policy', 'Research'}","{'unimelb', 'UTSEngage'}"
'OCD',"{'Medical', 'Research'}","{'Flinders', 'ANUmedia'}"
'OffshoreWind',{'Grant'},{'uwanews'}
'OnlineHarassment',{'Grant'},{'ANUmedia'}
'OpenDays',{'Government'},{'Flinders'}
'OvarianCancer',{'Research'},{'WestmeadInst'}
'PLM',{'Grant'},{'UniversitySA'}
'Pacific',{'Grant'},{'UQ_News'}
'PalliativeCare',{'Research'},{'MonashUni'}
'PhD',{'Research'},"{'Flinders', 'UniofAdelaide'}"
'ProstateCancer',{'Research'},{'GarvanInstitute'}
'QIMRBerghofer',"{'Health', 'Research'}",{'QIMRBerghofer'}
'QUT',"{'Funding', 'Health', 'Research'}",{'QUT'}
'QUTGivingDay',{'Research'},{'QUT'}
'QUTOAA',"{'Medical', 'Health'}",{'QUT'}
'Queensland',{'Research'},{'UQ_News'}
'ROSAResearch',{'Research'},{'sahmriAU'}
'Research',{'Research'},{'UOW'}
'ResearchAction18',"{'Health', 'Research'}",{'UTSEngage'}
'ResearchTuesdays',{'Research'},"{'UTAS_', 'UniofAdelaide'}"
'Rockhampton',{'Research'},{'UQ_News'}
'Rstats',{'Research'},"{'UQ_News', 'QUT'}"
'SAHMRI',{'Research'},{'Sydney_Uni'}
'SAscienceAwards',"{'Health', 'Research'}","{'UniofAdelaide', 'UNSW'}"
'SPWeek',{'Health'},{'latrobe'}
'SciArt',{'Research'},{'WEHI_research'}
'ScienceOfUs',{'Health'},"{'Flinders', 'UNSW'}"
'ScienceWeek',"{'Health', 'Grant', 'Research'}","{'WEHI_research', 'UTAS_'}"
'SixIncredibleThingsBeforeBreakfast',{'Research'},{'WEHI_research'}
'SpaceEthics',{'Research'},{'UNSW'}
'StopAVN',"{'Health', 'Research'}",{'UOW'}
'StudyInAustralia',{'Research'},{'latrobe'}
'TLAlert',{'Medical'},{'QUT'}
'Tamworth',{'Health'},{'Uni_Newcastle'}
'Travel',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
'Type1Diabetes',{'Research'},{'UQ_News'}
'UOWInnov18',{'Research'},{'UOW'}
'UOWTV',{'Health'},{'UOW'}
'UQ',"{'Health', 'Grant', 'Research'}","{'UQ_News', 'QUT'}"
'UTS',"{'Health', 'Research'}",{'UTSEngage'}
'UTSFASS',{'Research'},{'UTSEngage'}
'UniInTheBrewery',{'Health'},{'UOW'}
'UniMelb',{'Research'},{'unimelb'}
'UniMelbOpenDay',"{'Medical', 'Government', 'Research'}",{'unimelb'}
'UniSA3MT',{'Research'},{'UniversitySA'}
'UniSAOpenDay',"{'Medical', 'Health'}",{'UniversitySA'}
'UnimelbHealth',{'Health'},{'unimelb'}
'UnimelbOpenDay',"{'Medical', 'Policy', 'Health', 'Funding', 'Government'}",{'unimelb'}
'UnimelbPursuit',"{'Medical', 'Policy', 'Health', 'Grant', 'Government'}",{'unimelb'}
'UniversityPartner',{'Research'},{'Uni_Newcastle'}
'VH18',{'Policy'},{'UNSW'}
'VR',{'Research'},{'UniversitySA'}
'Vietnam',{'Research'},{'latrobe'}
'WHRN18',{'Health'},{'Sydney_Uni'}
'WWWeek',"{'Policy', 'Research'}",{'UTSEngage'}
'Westmead',"{'Medical', 'Health', 'Grant', 'Research'}",{'WestmeadInst'}
'WomenInSTEM',"{'Policy', 'Research'}","{'Uni_Newcastle', 'UTAS_'}"
'WorkIntegratedLearning',"{'Grant', 'Research'}",{'UTSEngage'}
'Xmen',{'Research'},{'TheFlorey'}
'adolescent',{'Health'},"{'unimelb', 'MCRI_for_kids'}"
'agricultural',{'Research'},"{'unimelb', 'UQ_News', 'ANUmedia'}"
'alcoholawareness',{'Health'},{'uwanews'}
'alliedhealthcare',"{'Health', 'Research'}",{'Sydney_Uni'}
'antibodies',{'Research'},{'UQ_News'}
'antibody',{'Research'},"{'WEHI_research', 'PeterMacCC'}"
'apartment',"{'Policy', 'Research'}",{'uwanews'}
'artofscience',{'Research'},{'WEHI_research'}
'auspol',"{'Policy', 'Health', 'Funding', 'Research', 'Government'}","{'blackdoginst', 'UTAS_', 'Uni_Newcastle', 'Flinders', 'latrobe', 'unimelb'}"
'backpain',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
'bankingRC',{'Research'},{'Macquarie_Uni'}
'binfjobs',{'Research'},{'BakerResearchAu'}
'biosecurity',"{'Funding', 'Government'}",{'latrobe'}
'biosensor',{'Research'},{'ANUmedia'}
'birdsong',{'Health'},{'UTAS_'}
'bonebiology',{'Health'},{'GarvanInstitute'}
'breastcancer',{'Research'},"{'WEHI_research', 'GarvanInstitute'}"
'cancer',"{'Grant', 'Research'}","{'PeterMacCC', 'UniversitySA'}"
'cancerresearch',{'Research'},{'Macquarie_Uni'}
'cardiovascular',{'Research'},{'BakerResearchAu'}
'cbrn',{'Health'},{'Flinders'}
'cells',"{'Medical', 'Research'}",{'UniofAdelaide'}
'change',{'Research'},{'QUT'}
'children',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
'climatechange',{'Research'},{'Macquarie_Uni'}
'clinical',{'Research'},{'UniversitySA'}
'cocktails',{'Government'},{'QUT'}
'collaborated',"{'Grant', 'Research'}","{'Macquarie_Uni', 'uwanews'}"
'collaboration',{'Medical'},{'UNSW'}
'collaborative',{'Research'},{'Uni_Newcastle'}
'coral',{'Health'},{'QUT'}
'cyber',{'Government'},{'UNSW'}
'cybersecurity',"{'Grant', 'Government'}","{'latrobe', 'Sydney_Uni'}"
'dementia',{'Research'},{'Flinders'}
'depression',{'Research'},{'QUT'}
'diabetes',{'Medical'},{'UQ_News'}
'diabetics',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
'drugs',{'Research'},{'MonashUni'}
'eAssessment',{'Grant'},"{'Flinders', 'UniversitySA', 'UniofAdelaide'}"
'endTB',{'Research'},{'Sydney_Uni'}
'engagedscholarship',{'Research'},{'UTSEngage'}
'evidencebasedpractise',"{'Medical', 'Health'}",{'MonashUni'}
'ewingsarcoma',{'Funding'},{'PeterMacCC'}
'fairfundingnow',{'Funding'},{'latrobe'}
'familieshelpingfamilies',{'Medical'},{'Flinders'}
'foodinnovation',{'Research'},{'UniofAdelaide'}
'gippsnews',{'Health'},{'latrobe'}
'gradcert',{'Health'},{'MonashUni'}
'grant',{'Grant'},{'QUT'}
'hdrstudentconf',"{'Health', 'Research'}",{'Sydney_Uni'}
'health',"{'Health', 'Research'}","{'MCRI_for_kids', 'UTAS_'}"
'hiring',{'Health'},{'latrobe'}
'hope',"{'Medical', 'Health', 'Research'}",{'WEHI_research'}
'humerus',{'Research'},{'Macquarie_Uni'}
'iAccelerate',{'Funding'},{'UOW'}
'ihbiinspires2018',{'Health'},{'QUT'}
'imaging',{'Grant'},{'PeterMacCC'}
'impact',{'Research'},{'Macquarie_Uni'}
'innovation',{'Research'},"{'WEHI_research', 'ANUmedia', 'PeterMacCC'}"
'laboratory',"{'Medical', 'Health'}",{'unimelb'}
'latrobeuni',"{'Health', 'Grant', 'Research'}",{'latrobe'}
'linguistics',{'Research'},{'unimelb'}
'marketing',{'Research'},{'QUT'}
'masters',{'Health'},{'Sydney_Uni'}
'medicalresearch',"{'Medical', 'Grant', 'Research'}",{'sahmriAU'}
'medicalresearchworks',"{'Medical', 'Research'}","{'WEHI_research', 'EyeResearchAus'}"
'mental',{'Health'},{'uwanews'}
'mentalhealth',{'Health'},{'latrobe'}
'metastasis',{'Research'},{'GarvanInstitute'}
'metoo',"{'Medical', 'Health', 'Research'}",{'unimelb'}
'moderatedrinking',{'Research'},{'Uni_Newcastle'}
'modify18',{'Health'},{'UniversitySA'}
'monash',{'Government'},{'MonashUni'}
'mqopenday2018',{'Research'},{'Macquarie_Uni'}
'musicscience',{'Research'},{'Macquarie_Uni'}
'myhealthrecord',"{'Health', 'Research'}",{'Flinders'}
'nanosciweek',{'Research'},{'UniversitySA'}
'nhmrc',"{'Policy', 'Health', 'Research'}","{'BakerResearchAu', 'sahmriAU'}"
'openaccess',"{'Health', 'Research'}",{'Sydney_Uni'}
'openday',{'Research'},{'unimelb'}
'ortho',{'Research'},{'UNSW'}
'ovariancancer',{'Research'},{'WestmeadInst'}
'physical',{'Health'},{'QUT'}
'pickmyproject',"{'Funding', 'Health'}",{'unimelb'}
'politicsoflistening',{'Grant'},{'UNSW'}
'postdocjobsaus',"{'Health', 'Research'}",{'UOW'}
'preterm',{'Funding'},"{'unimelb', 'MCRI_for_kids'}"
'proflexdoyle',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
'renewable',{'Funding'},{'UNSW'}
'research',"{'Funding', 'Health', 'Grant', 'Research'}","{'Sydney_Uni', 'Flinders', 'MCRI_for_kids', 'latrobe', 'unimelb', 'UOW', 'MonashUni'}"
'researchlife',{'Research'},{'unimelb'}
'river',{'Research'},{'Macquarie_Uni'}
'schistosomiasis',{'Research'},{'QIMRBerghofer'}
'scienceweek',"{'Policy', 'Health', 'Research'}","{'Macquarie_Uni', 'blackdoginst', 'Sydney_Uni', 'WEHI_research', 'Flinders', 'unimelb'}"
'scientists',{'Research'},{'CentenaryInst'}
'sdoh',{'Health'},{'UniofAdelaide'}
'sharks',{'Research'},{'Uni_Newcastle'}
'simulation',{'Health'},"{'unimelb', 'MonashUni'}"
'skin',{'Research'},{'UniversitySA'}
'snowflakes',{'Research'},{'uwanews'}
'soar',"{'Health', 'Research'}",{'Sydney_Uni'}
'space',{'Medical'},{'UTAS_'}
'springst',{'Government'},{'Flinders'}
'stemcell',"{'Medical', 'Research'}","{'unimelb', 'WestmeadInst', 'EyeResearchAus'}"
'stickinsects',{'Research'},{'Macquarie_Uni'}
'stormwater',{'Research'},{'UniofAdelaide'}
'sueellerywhohasblocked',{'Funding'},{'uwanews'}
'suicideprevention',{'Research'},{'blackdoginst'}
'supercomputer',{'Research'},{'ANUmedia'}
'surgery',{'Research'},{'QUT'}
'technology',{'Health'},{'MCRI_for_kids'}
'traditional',"{'Health', 'Research'}",{'QUT'}
'uaopenday',"{'Medical', 'Health'}",{'UniofAdelaide'}
'ultrasound',{'Medical'},{'QUT'}
'university',{'Research'},{'UniversitySA'}
'usyd',{'Health'},"{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
'utasopenday2018',{'Health'},{'UTAS_'}
'venom',{'Research'},"{'TheFlorey', 'UQ_News'}"
'westmead',"{'Health', 'Research'}",{'WestmeadInst'}
'westpacscholar',{'Research'},{'ANUmedia'}
'whendidigetold',{'Medical'},{'UNSW'}
'womeninSTEMM',"{'Funding', 'Grant', 'Research'}","{'WEHI_research', 'CentenaryInst', 'MonashUni'}"
'yts2018',"{'Medical', 'Research'}",{'UTAS_'}
